word,count
ssss.dynazenon,9
tabitabi,9
sakugan,9
"solitude,",9
ergo,9
lost,9
deca-dence,9
sora:,9
hito,9
taizai,9
joyuu,9
hello,9
yatsura,9
dream!,9
souma:,9
gankutsuou,9
gaiden:,9
ride,9
yue,9
fuiteiru,9
hikari,9
ramune,9
alchemist,9
ballroom,9
dakaretai,9
night:,9
nagi,9
kusushi,9
edition,9
tsukurou,9
kazemai,9
shichinin,9
proxy,9
kyuudou-bu,9
alone.,9
inazuma,9
series,9
iyasaretai.,9
sonzai,9
golgo,9
grill,9
tsuioku-hen,9
works,9
selection,9
yuurei,9
amnesia,9
♡,9
yuri,9
meng,9
kiniro,9
gleipnir,9
sara,9
tabi,9
piece:,9
liz,9
owari,9
baby,9
lord,9
yosuga,9
least,9
dorei,9
score,9
tsurune:,9
cross,9
afro,9
odosarete,9
utatte,9
broly,9
sac_2045,9
darwin's,9
shachiku-san,9
kuroshitsuji,9
fukkatsu,9
kakeru,9
asu,9
ren,9
1-i,9
yokohama,8
gekkan,8
lyrical,8
shouwa,8
shinwa,8
4-nin,8
0080:,8
musume:,8
rakugo,8
aru:,8
soukou,8
yuuutsu,8
tanteidan,8
gohan,8
na!,8
overflow,8
records,8
wushen,8
koushi,8
gakkougurashi!,8
genroku,8
stand,8
ryoubo-kun.,8
tale,8
bug,8
human,8
bear,8
25:,8
cardcaptor,8
liuqi:,8
yamada-kun,8
ikkitousen:,8
taikei,8
sis,8
bloodline,8
carole,8
takkyuubin,8
tamako,8
poroporo,8
6,8
ojamajo,8
derby,8
suzu,8
shoukan,8
megami-ryou,8
doraemon,8
kidoutai,8
kuzu☆idol,8
slam,8
promare,8
city,8
pocket,8
te,8
inu,8
kikou,8
keisatsu,8
bang,8
ningyou,8
puraore!,8
ayashii,8
record:,8
deatte,8
bishounen,8
gun,8
madoka☆magica,8
godfathers,8
bai,8
hyousetsu,8
sorezore,8
shakunetsu,8
rwby:,8
tte,8
fuuto,8
cub,8
uma,8
5-byou,8
alicization,8
tuesday,8
citrus,8
yama,8
kamuy,8
memorial,8
nozaki-kun,8
tsuku,8
taizai:,8
meiji,8
yatotta,8
kibou,8
gosick,8
tekken:,8
nerae!,8
yuu,8
kan,8
shiawase,8
maria-sama,8
eizouken,8
akashic,8
pv,8
4,8
ii.,8
black:,8
senkan,8
dunk,8
darker,8
rokudenashi,8
kaidashi,8
beck,8
yu,8
spriggan,8
saikin,8
gintama.:,8
magia,8
tiger,8
dattebayo!,7
anime,7
gunbuster,7
kenkaku,7
phantom,7
sidonia,7
mazoku:,7
meets,7
sareteita,7
cangqiong,7
nisha,7
fudousan,7
danganronpa:,7
konnani,7
idolm@ster,7
7-nin,7
6th,7
zo,7
saimin,7
tachinu,7
ga!?,7
himitsu,7
stars,7
zeppelin,7
gate:,7
twin,7
rettousei,7
06:,7
skelter+heaven,7
apple,7
log,7
visual,7
seraph,7
kikoeru,7
hinamatsuri,7
cue!,7
imaizumin,7
14:,7
choujin,7
romantan,7
stocking,7
grace,7
utility,7
mou,7
lucky☆star,7
quanzhi,7
kaiba,7
fate/kaleid,7
scherzo,7
rokubou,7
kanochi,7
rurouni,7
saigo,7
tatakai,7
hokuto,7
gamers!,7
kuroko,7
houkago,7
natteru,7
jikenbo:,7
shine,7
danzai,7
gokuu,7
hathaway,7
drifters,7
garterbelt,7
mudazukai,7
cup,7
rashii,7
gear,7
nu,7
dame,7
tamariba,7
senkou,7
paradise,7
patlabor,7
maou-sama!!,7
brilliant,7
baka,7
ishigami,7
ace,7
miteru,7
robo,7
sumaseba,7
sorairo,7
i:,7
yong,7
kuraki,7
fight,7
kenshin:,7
zz,7
tetsuwan,7
rainbow:,7
2-choume,7
cop,7
prisma☆illya,7
rail,7
shinsei,7
panty,7
build,7
itsunomanika,7
daigaku,7
handsome,7
kaku,7
taimanin,7
ura,7
halloween,7
xingkong,7
jigoku,7
jie,7
doremi,7
picnic,7
tatakaeri,7
ying,7
yuuyami,7
douyara,7
connect,7
natte,7
cucuruz,7
doan,7
ji,7
katasumi,7
tenshi-sama,7
mi,7
shinmai,7
el-melloi,7
r,7
post,7
otonari,7
jin-rou,7
liner,7
kaichou,7
"daimaou,",7
teaser,7
tennis,7
nande,7
kokuki,7
origin,7
"nite,",7
jieitai,7
keiyakusha,7
big,7
murabito,7
tortured,6
shuraba,6
agateram,6
apollon,6
uragawa,6
papa,6
unicorn,6
sukutte,6
complex,6
gunjou,6
kamiarizuki,6
"ore,",6
animation:,6
highschool,6
flower,6
shuki,6
issho,6
orphans,6
ichigo,6
shooter,6
minna,6
paladin;,6
moribito,6
kaijuu,6
wan,6
babylon,6
babylonia,6
maiorita,6
atama,6
shinjuu,6
back,6
colorful,6
ver1.1a,6
shippo,6
char,6
party:,6
horizon,6
jukyou,6
ikebukuro,6
kyousoukyoku,6
ue.,6
rush,6
amaama,6
dekinai,6
baraou,6
reflection,6
rumble,6
itsumo,6
beyblade,6
masamune-kun,6
shishou,6
steins;gate:,6
black★rock,6
camelot,6
munou,6
amagi,6
gate,6
entaku,6
giant,6
isogashii,6
head,6
birdy,6
shitemasu,6
yowamushi,6
michi,6
dalu,6
sakamichi,6
01:,6
bna,6
demi-chan,6
chobits,6
net-juu,6
kedaruge,6
mashimaro,6
tanaka-kun,6
go,6
kihei,6
rain,6
because!,6
o,6
bridge,6
moratte,6
ane,6
inuyasha,6
west,6
macross:,6
remember,6
zetsuen,6
corpse,6
getter,6
assassins,6
kaede,6
nodame,6
aya,6
fate/apocrypha,6
tong,6
osomatsu-san,6
"maou-sama,",6
aho,6
tekketsu,6
sukunai,6
escape,6
hatsukoi,6
eromanga-sensei,6
"tokidoki,",6
shakugan,6
nonbiri,6
zai,6
souls,6
kuru,6
xxxholic,6
natta,6
nouka,6
adventure,6
skill,6
tempest,6
kawaii:,6
nier:automata,6
nine,6
gekijou,6
chou,6
ika,6
dawn,6
gintama':,6
xin,6
maid-sama!,6
shana,6
seed,6
lagoon:,6
retry!,6
akagami,6
douluo,6
basara,6
"hiza,",6
nomi,6
tights,6
meshi,6
tomo-chan,6
boku.,6
kabaddi,6
doukyonin,6
bao,6
crystal,6
lodoss-tou,6
gantz:o,6
seisen,6
hibi,6
dimension,6
zhe,6
hourou,6
killing,6
bougyakusareta,6
gyakuten,6
rettousei:,6
