Title,count
He Wei Dao x Hui Yeda Xiaojie Xiangyao Wo Gaobai,1
Ichigo Mashimaro OVA,1
Ijirare: Fukushuu Saimin,2
Soukou Kihei Votoms,2
Kurumiwari Ningyou (2014),1
Pokemon Evolutions,4
Machine-Doll wa Kizutsukanai,1
Omamori Himari,1
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",2
Gintama.: Porori-hen,3
Mad★Bull 34,4
Summer Wars,5
number24,1
True Tears,1
Kaihouku: Chikan Harem,1
Overlord,19
Kakkou no Iinazuke,18
Bleach: The Sealed Sword Frenzy,1
Kidou Senshi Gundam NT,1
"Sora no Iro, Mizu no Iro",1
Hokuto no Ken,5
Yes ka No ka Hanbun ka,2
Love Stage!!,2
Mayo Chiki!,3
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,1
InuYasha,5
Cosplay Complex,1
Chainsaw Man,164
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,14
Dr. Stone: Ryuusui,14
Tenshi Kinryouku,1
Ling Qi 2,3
Yamada-kun to 7-nin no Majo,7
Toutotsu ni Egypt Shin,2
Shikiyoku Infinite,1
Haikyuu!! To the Top Part 2,3
Fudanshi Koukou Seikatsu,1
Owarimonogatari 2nd Season,5
BanG Dream! Garupa☆Pico,1
Sojunghan Nal-ui Kkum,1
Ninin ga Shinobuden,1
Seikatsu Shuukan The Animation,1
Yuuseiboushi,1
Fate/Zero 2nd Season,17
Ansatsu Kyoushitsu,23
Rakudai Kishi no Cavalry,17
Kidou Senshi Gundam F91,2
One Piece: Dai Tettei Kaibou! Gekitou! 5-nin no Shin Sedai,1
Paprika,3
Sei Dorei Gakuen 2,1
Ginga Nagareboshi Gin,2
Tales of Symphonia The Animation: Sylvarant-hen,1
Radiant 2nd Season,1
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,1
Isaku,1
Oda Nobuna no Yabou,1
Kemonokko Tsuushin: The Animation - Ushi Musume Bell,1
Voy@ger,1
Kill la Kill,23
Vinland Saga,40
High School DxD,17
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,1
Aachi wa Ssipak,2
Ikkitousen: Dragon Destiny Specials,1
Texhnolyze,9
Musician,1
Lupin III: Russia yori Ai wo Komete,1
Pokemon Movie 23: Koko,2
Koukaku Kidoutai: Stand Alone Complex,4
Rosario to Vampire Capu2,3
Caligula (TV),1
Macross F Movie 1: Itsuwari no Utahime,2
Kokoro Connect,4
B-gata H-kei,1
Yatogame-chan Kansatsu Nikki Nisatsume,1
Kud Wafter,1
Boku wa Imouto ni Koi wo Suru,2
Grimm Meisaku Gekijou,1
"Benriya Saitou-san, Isekai ni Iku",2
Teekyuu 2,1
Natsunagu!,1
Chiikawa,2
Kareshi Kanojo no Jijou,4
Knights of the Zodiac: Saint Seiya - Battle for Sanctuary,2
Kuroshitsuji: Book of Murder,1
Toaru Kagaku no Accelerator,3
ReLIFE: Kanketsu-hen Specials,1
Ikkitousen: Great Guardians,1
Densetsu no Yuusha no Densetsu,2
Blade Runner: Black Lotus,12
Yakin Byoutou Specials,1
Choujikuu Seiki Orguss,2
Top wo Nerae 2! Diebuster,1
Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi,1
Samurai Deeper Kyou,1
Getter Robo Arc,4
Teekyuu,1
RahXephon,3
Yaku nara Mug Cup mo: Niban Gama,4
Dragon Ball Super,8
Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho,1
Bucchigire!,2
Nisekoi,12
Sewayaki Kitsune no Senko-san,13
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",1
"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru",7
Dubu Xiaoyao,2
Orange,11
Sora to Umi no Aida,1
Fairy Tail (2014),3
Omoide no Marnie,5
Gochuumon wa Usagi desu ka? Bloom,1
Maburaho,1
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri Part 2",1
Tensura Nikki: Tensei shitara Slime Datta Ken,2
Gundam: G no Reconguista Movie I - Ike! Core Fighter,1
Pokemon Movie 22: Mewtwo no Gyakushuu Evolution,1
Sword Art Online: Alicization - War of Underworld,2
Monochrome Factor,1
Ano Danchi no Tsuma-tachi wa... The Animation,1
Mahoutsukai Sally 2,1
Lupin III: Part 6 - Jidai,4
Gunsmith Cats,5
Cider no You ni Kotoba ga Wakiagaru,29
Q,1
Michiko to Hatchin,3
Heisei Tanuki Gassen Ponpoko,3
Fukigen na Mononokean,1
Hentai Ouji to Warawanai Neko.: Henneko BBS,1
Shounan Bakusouzoku,1
Dragon Ball Z x Kao,2
Deltora Quest,2
Monster Strike Anime: Kieyuku Uchuu-hen,1
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,1
Tsurune: Kazemai Koukou Kyuudou-bu,8
Psycho-Pass 2,2
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,2
Marine Shukkou!!,4
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,1
Manyuu Hikenchou,1
KochinPa!,1
Fire Emblem Heroes: Lonely Puppeteer (Spring Remix),1
Persona 4 the Golden Animation,2
Uchuu Senshi Baldios,1
Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,1
Macross Δ Movie: Gekijou no Walküre,1
Ao Haru Ride OVA,1
Cike Wu Liuqi Fanwai,1
Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,1
Cowboy Bebop,64
Appleseed,2
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,1
Aharen-san wa Hakarenai,51
AIKa,2
Hellsing,3
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,3
Element Hunters,2
Cossette no Shouzou,3
"Ayanami Rei, Hajimete no Kuchibeni",2
Doupo Cangqiong 4th Season,2
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,2
Mahou Shoujo Ikusei Keikaku,2
Fairy Tail Movie 2: Dragon Cry,2
Blood-C: The Last Dark,1
Full Metal Panic!,1
Selection Project,9
Wan Sheng Jie 2,1
Bitch na Inane-sama,1
Rebecca,1
Night Head 2041,2
Gakuen Handsome,7
Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,4
Kimi wo Aishita Hitori no Boku e,1
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",6
Tsugumomo,2
Little Witch Academia: Mahoujikake no Parade,1
Hana to Kaze no Fantasy,1
Tensai Ouji no Akaji Kokka Saisei Jutsu,27
Sengoku Basara: Setonai no Gekitotsu! Hi wo Fuku Umi no Daiyousai - Fugaku!!,1
Kyochuu Rettou Movie,2
Dagashi Kashi,2
Sousei no Aquarion,2
Anne Happy♪,2
Ys IV: The Dawn of Ys,1
Harem Time The Animation,1
Major S6,1
Nanatsu no Taizai Movie 2: Hikari ni Norowareshi Mono-tachi,3
Ookiku Furikabutte: Natsu no Taikai-hen,3
3D Kanojo: Real Girl,11
SK∞,19
Gintama: The Final,21
Love Live! Nijigasaki Gakuen School Idol Doukoukai 2nd Season,11
Babylon,5
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,1
Oniisama e...,2
Shikioriori,2
Rokka no Yuusha,2
Bai Yao Pu,2
Change!! Getter Robo: Sekai Saigo no Hi,2
Virus: Virus Buster Serge,1
Make My Day,1
Tokyo Revengers: Seiya Kessen-hen,1
Pokemon (2019),10
Kanata no Astra,14
Black★Rock Shooter (OVA),1
To LOVE-Ru,1
Black Lagoon: The Second Barrage,3
Kinnikuman II Sei: Second Generations,1
Jiyi Guanli Ju,1
Kokoro ga Sakebitagatterunda.,5
Nourin,2
Hikaru no Go,2
Porphy no Nagai Tabi,1
Pokemon XY&Z,1
Kaze no Toori Michi,1
Seitokai no Ichizon,1
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,13
Kaguya-sama wa Kokurasetai: Ultra Romantic,169
Clannad,8
Air Master,1
Sketchbook: Full Color's,2
Plastic Memories,14
Uramichi Oniisan,24
Nisekoi:,4
Cat Shit One,1
Oneshota The Animation,2
Tom Sawyer no Bouken,1
Mahou Shoujo Ore,1
Detective Conan Movie 15: Quarter of Silence,1
I Think You're a Little Confused,1
Ai wa KAT-TUN,1
Soukou Kihei Votoms: The Last Red Shoulder,2
Mi Yu Xing Zhe,2
Majo demo Steady,1
One Piece Film: Strong World,1
Hagure Yuusha no Aesthetica,1
Aoki Ryuusei SPT Layzner,1
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,7
Majo no Takkyuubin,8
"Goodbye, Don Glees!",5
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,3
Jormungand,4
Sora yori mo Tooi Basho,9
Bumblebee Hajimete no Chikyuu Seikatsu,1
Murenase! Seton Gakuen,1
Taisou Zamurai,2
Nagasarete Airantou,2
The iDOLM@STER Shiny Festa,1
Monster Musume no Oishasan,1
Natsume Yuujinchou: Hitoyoshi Kuma de no Yasashii Jikan,1
Aru Tabibito no Nikki,1
"\"Gyakuten Saiban: Sono \"\"Shinjitsu\"\"",3
Lunn wa Kaze no Naka,1
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,1
Minami Kamakura Koukou Joshi Jitensha-bu,1
Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,1
Dragon Ball Specials,1
Romantic Killer,60
5-toubun no Hanayome Movie,15
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,10
Yoru wa Mijikashi Arukeyo Otome,5
Soredemo Sekai wa Utsukushii,3
Clockwork Planet,1
Märchen Mädchen,2
Crazy Roulette,1
Milk Junkie: Shimai-hen,1
Kiniro Mosaic: Thank You!!,3
Free! Movie 4: The Final Stroke - Zenpen,3
Fantasy Bishoujo Juniku Ojisan to,33
Higashi no Eden Movie II: Paradise Lost,1
Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,2
Sekaiichi Hatsukoi: Propose-hen,1
Baby I Love You Daze,1
Buddy Complex,1
Gallery Fake,1
One Piece: Taose! Kaizoku Ganzack,1
Alice in Deadly School,1
Gintama°,11
Citrus,8
Saint☆Oniisan (Movie),1
Koukaku Kidoutai: SAC_2045,1
Chuunibyou demo Koi ga Shitai! Ren,7
Soredemo Machi wa Mawatteiru,2
Lupin III x McDonald's CMs,1
Absolute Duo,1
Dennou Coil,3
Strange+,1
"Yuru Yuri,",1
"Inari, Konkon, Koi Iroha.",1
Kannazuki no Miko,1
Yuru Yuri♪♪,2
Ace wo Nerae! 2,1
Princess Knight☆Catue DVD-BOX Special,1
Ame wo Tsugeru Hyouryuu Danchi,13
Saint Seiya,5
"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita",48
Makai Kishi Ingrid: Re - Mesu Buta Dorei ni Ochita Makai Kishi,1
Kotonoha no Niwa,15
Berserk: Ougon Jidai-hen - Memorial Edition,7
Kara no Kyoukai Movie 1: Fukan Fuukei,2
Kunoichi Tsubaki no Mune no Uchi,14
Monkey Magic,2
Edens Zero,19
Yuyushiki,1
Marginal Prince: Gekkeiju no Ouji-tachi,1
Mokkai Shiyo?,1
Wu Liuqi: Zui Qiang Fa Xing Shi,3
He Nü'er De Richang,1
Fate/Grand Order: Shuukyoku Tokuiten - Kani Jikan Shinden Solomon,13
Inu to Hasami wa Tsukaiyou,1
Kokoro Connect: Michi Random,1
Gakuen Heaven,1
Ajisai no Chiru Koro ni,1
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,3
Dragon Ball Z,15
Tsurezure Children,10
Tsuki ga Kirei,20
Junk Boy,1
Lapis Re:LiGHTs,2
Ginga Tetsudou 999,1
Nihon Chinbotsu 2020,3
Dragon Ball Super: Super Hero,17
Yi Nian Yong Heng,2
Nyancos: Hello! Our Brilliant Future,1
Ladies versus Butlers!,2
Machikado Mazoku,1
Happy Birthday: Inochi Kagayaku Toki,1
Satsuriku no Tenshi,5
Futari Ecchi,1
Zoku Natsume Yuujinchou,1
Mahou Shoujo Lyrical Nanoha A's,1
Teekyuu 2 Specials,1
K-On!,19
Shin Hurricane Polymar,1
Ping Pong the Animation,16
Ginga Eiyuu Densetsu,17
Isekai wa Smartphone to Tomo ni.,4
Prison School,10
Pelican Road Club Caroucha,1
Cyborg 009: The Cyborg Soldier,1
Yama no Susume,3
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,5
Arifureta Shokugyou de Sekai Saikyou: Maboroshi no Bouken to Kiseki no Kaigou,1
Maou Dante,1
Gamers!,7
Full Moon wo Sagashite,2
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,2
Araburu Kisetsu no Otome-domo yo.,3
Yoru ni Kakeru,2
Shippuu! Iron Leaguer,1
Boku no Hero Academia 4th Season,3
Yuan Long,1
Chou Robot Seimeitai Transformers Micron Densetsu,1
Junk Land The Animation,1
Neon Genesis Evangelion,58
Yongzhe Donghua Xilie,1
Uchuu Kyoudai,5
Mahou Shoujo Site,2
Non Non Biyori,6
Mayoiga,2
Orient: Awajishima Gekitou-hen,2
Feng Qi Luoyang Zhi Shen Ji Shaonian,1
3D Kanojo: Real Girl 2nd Season,6
Obey Me!,5
Dogeza de Tanondemita: Isekai-hen,1
Fushigi Sekai Atagoul Monogatari,1
A.I.C.O.: Incarnation,1
Mirai Shounen Conan,1
Kono Oto Tomare! Part 2,5
Saraiya Goyou,1
Tonari no Seki-kun,1
Yakitate!! Japan,1
Baoh Raihousha,1
Boku no Hero Academia 5th Season,35
Hanhua Riji 3rd Season,1
Usseewa,2
Kyoukai no Kanata,6
Arifureta Shokugyou de Sekai Saikyou 2nd Season,33
Mesudachi The Animation,1
Urda,1
Toaru Kagaku no Accelerator: Tobidase Ippou-san - Hachamecha Kaishingeki,1
Mangirl!,1
Owarimonogatari,4
Gyakkyou Burai Kaiji: Hakairoku-hen,2
Tsurune: Kazemai Koukou Kyuudou-bu - Yabai,1
Hololive Alternative,1
Initial D Battle Stage 3,1
"Otaku ni Yasashii Gal toka, Kyonyuu no Osananajimi toka.",1
Eroriman,1
Kyonyuu Elf Oyako Saimin,1
Natsume Yuujinchou: Itsuka Yuki no Hi ni,1
Koi to Producer: EVOL×LOVE,1
Fullmetal Alchemist: The Conqueror of Shamballa,1
Magic Knight Rayearth II,1
Toradora!,50
Tondemo Skill de Isekai Hourou Meshi,4
Extreme Hearts,2
Kodomo no Omocha (TV),2
Tokyo 24-ku,4
Miss Monochrome The Animation,1
Shin Kidou Senki Gundam Wing: Endless Waltz,1
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,1
Pretty Rhythm: Rainbow Live,1
Yousei Florence,1
Windows Tablet no Uta,1
Lupin Zero,1
Summertime Render,80
Itou Junji: Maniac,3
"Kanojo, Okarishimasu 2nd Season",31
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,10
Genmu Senki Leda,1
Fruits Basket: Prelude,18
Ling Feng Zhe,1
ChäoS;Child,1
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,13
Karakuri Circus,2
Urawa no Usagi-chan,1
Tian Bao Fuyao Lu 2nd Season,2
Kishuku Gakkou no Juliet,5
Ranma ½: Yomigaeru Kioku,1
Puchi Pri*Yucie,1
